RA,FASE,TURMA,NOME,INSTITUICAO_ENSINO_ALUNO,PEDRA,INDE,REC_AVAL_1,REC_AVAL_2,REC_AVAL_3,REC_AVAL_4,REC_PSICO,NIVEL_IDEAL,DEFASAGEM,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,ANO_BASE,IDADE_ALUNO_MISSING,INDE_MISSING,CG_MISSING,CF_MISSING,CT_MISSING,QTDE_AVAL_MISSING,IAA_MISSING,IEG_MISSING,IPS_MISSING,IDA_MISSING,NOTA_MAT_MISSING,NOTA_PORT_MISSING,NOTA_ING_MISSING,IPV_MISSING,IPP_MISSING,INSTITUICAO_ENSINO_ALUNO_MISSING,PEDRA_MISSING,REC_AVAL_1_MISSING,REC_AVAL_2_MISSING,REC_AVAL_3_MISSING,REC_AVAL_4_MISSING,REC_PSICO_MISSING,DESTAQUE_IEG_MISSING,DESTAQUE_IDA_MISSING,DESTAQUE_IPV_MISSING,ALTO_INDE,CAT_IDADE_ALUNO,CAT_ANO_INGRESSO,CAT_CG,CAT_CF,CAT_CT,CAT_QTDE_AVAL,CAT_IAA,CAT_IEG,CAT_IPS,CAT_IDA,CAT_NOTA_MAT,CAT_NOTA_PORT,CAT_NOTA_ING,CAT_IPV,CAT_IAN,CAT_IPP,CAT_PEDRA_ORDINAL,CAT_NOTA_MEDIA,CAT_TEMPO_PM,DEFASADO
RA-586,1,K,Aluno-586,Rede Decisão,Ametista,7.988,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,DESCONHECIDO,Requer avaliação,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,5,5,2,5,4,4,1,5,1,2,2,4,1,1
RA-587,1,K,Aluno-587,Escola Pública,Ágata,6.632,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,4,4,3,1,1,3,1,1,1,2,1,1,1,1
RA-588,1,K,Aluno-588,Rede Decisão,Topázio,8.622,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,DESCONHECIDO,Sem limitações,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,4,5,2,5,5,5,1,4,2,2,3,5,1,0
RA-589,1,K,Aluno-589,Escola Pública,Ametista,7.744,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,4,4,3,2,1,5,1,2,2,2,2,2,1,0
RA-590,1,K,Aluno-590,Escola Pública,Ametista,7.435,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,2,3,3,4,2,5,1,3,1,2,2,4,2,1
RA-591,1,K,Aluno-591,Escola Pública,Ametista,7.507,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,1,2,4,4,3,4,4,2,1,2,1,2,2,4,1,1
RA-592,1,K,Aluno-592,Escola Pública,Ametista,7.381,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Requer avaliação,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,2,2,3,2,5,4,5,1,3,1,2,2,5,2,1
RA-593,1,K,Aluno-593,Escola Pública,Ágata,6.254,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,2,2,1,2,3,1,1,2,1,1,1,2,1,2,1,1
RA-594,1,K,Aluno-594,Escola Pública,Ametista,7.392,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,2,2,4,3,4,2,5,1,2,1,2,2,4,1,1
RA-595,1,K,Aluno-595,Escola Pública,Quartzo,5.18,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,2,1,3,1,1,1,1,1,1,2,1,1,4,1
RA-596,1,K,Aluno-596,Escola Pública,Topázio,8.971,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,DESCONHECIDO,Sem limitações,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,4,5,3,5,5,5,1,5,2,2,3,5,1,0
RA-597,1,L,Aluno-597,Escola Pública,Topázio,8.265,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,3,5,3,4,3,5,1,2,2,2,3,4,1,0
RA-598,1,L,Aluno-598,Escola Pública,Ágata,6.35,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,4,2,3,1,2,1,1,2,1,2,1,1,1,1
RA-599,1,L,Aluno-599,Escola Pública,Topázio,8.2,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,4,4,3,5,5,5,1,5,1,2,3,5,1,1
RA-600,1,L,Aluno-600,Escola Pública,Ágata,7.011,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,2,2,2,2,3,3,1,1,1,1,1,2,2,1,1,1,0
RA-601,1,L,Aluno-601,Escola Pública,Ametista,7.713,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,ALFA  (2º e 3º ano),1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,3,5,3,2,2,2,1,2,2,2,2,2,1,0
RA-602,1,L,Aluno-602,Escola Pública,Ametista,8.041,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,5,5,3,5,5,5,1,3,1,2,2,5,3,1
RA-603,1,L,Aluno-603,Escola Pública,Ametista,7.78,Promovido de Fase,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,3,4,3,4,3,5,1,4,1,2,2,4,1,1
RA-604,1,L,Aluno-604,Escola Pública,Ametista,8.018,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,3,4,3,5,4,5,1,4,1,2,2,5,1,1
RA-605,1,L,Aluno-605,Escola Pública,Ametista,7.276,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,2,2,1,4,3,4,3,4,1,3,1,2,2,4,1,1
RA-606,1,L,Aluno-606,Escola Pública,Ágata,6.127,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,4,4,3,1,1,1,1,1,1,2,1,1,1,1
RA-607,1,L,Aluno-607,Escola Pública,Ágata,6.44,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,2,3,1,1,1,1,2,1,2,1,1,1,1
RA-608,1,L,Aluno-608,Escola Pública,Ametista,7.216,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,2,2,5,3,3,1,5,1,2,1,2,2,3,1,1
RA-609,1,L,Aluno-609,Escola Pública,Ágata,6.794,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,2,2,3,2,3,2,1,2,1,2,1,2,3,1
RA-610,1,L,Aluno-610,Escola Pública,Topázio,8.18,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,3,5,3,3,2,3,1,5,2,2,3,3,1,0
RA-611,1,M,Aluno-611,Escola Pública,Ametista,7.756,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,4,2,3,5,5,5,1,3,1,2,2,5,1,1
RA-612,1,M,Aluno-612,Escola Pública,Ametista,7.594,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,3,4,3,4,5,2,1,2,1,2,2,4,1,1
RA-613,1,M,Aluno-613,Escola Pública,Topázio,8.121,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,2,3,4,3,5,5,5,1,5,1,2,3,5,2,1
RA-614,1,M,Aluno-614,Escola Pública,Topázio,8.339,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,4,5,3,5,5,5,1,4,1,2,3,5,1,1
RA-615,1,M,Aluno-615,Escola Pública,Topázio,8.086,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,4,5,3,4,4,3,1,2,2,2,3,4,2,0
RA-616,1,M,Aluno-616,Escola Pública,Ametista,7.303,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,2,2,1,2,3,5,5,5,1,2,1,2,2,5,3,1
RA-617,1,M,Aluno-617,Escola Pública,Ametista,7.107,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,2,2,2,2,3,3,3,1,4,1,1,1,2,2,3,1,1
RA-618,1,M,Aluno-618,Escola Pública,Ametista,7.18,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2,2,2,2,3,3,3,3,3,3,1,2,1,2,2,3,2,1
RA-619,1,M,Aluno-619,Escola Pública,Ametista,7.693,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,4,2,3,5,5,5,1,2,1,2,2,5,1,1
RA-620,1,M,Aluno-620,Escola Pública,Ágata,6.018,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,1,2,3,3,5,1,1,1,1,2,1,3,1,1
RA-621,1,M,Aluno-621,Escola Pública,Ametista,7.448,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,2,4,2,3,4,3,4,1,4,1,2,2,4,2,1
RA-622,1,N,Aluno-622,Escola Pública,Quartzo,4.934,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,1,1,3,1,2,1,1,1,1,2,1,1,3,1
RA-623,1,N,Aluno-623,Escola Pública,Ametista,7.524,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,2,1,2,1,4,3,5,5,4,1,2,1,2,2,4,1,1
RA-624,1,N,Aluno-624,Escola Pública,Ametista,7.425,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,2,3,3,3,3,4,2,1,3,1,2,2,3,1,1
RA-625,1,N,Aluno-625,Escola Pública,Ametista,7.483,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,2,2,4,3,4,5,3,1,2,1,2,2,4,1,1
RA-626,1,N,Aluno-626,Escola Pública,Quartzo,5.818,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,1,2,3,1,1,1,1,2,1,2,1,1,1,1
RA-627,1,N,Aluno-627,Escola Pública,Ágata,6.621,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,1,3,3,3,3,1,2,1,2,1,3,1,1
RA-628,1,N,Aluno-628,Escola Pública,Ametista,7.577,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,2,4,2,3,5,5,5,1,2,1,2,2,5,1,1
RA-629,1,N,Aluno-629,Escola Pública,Topázio,8.11,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,3,5,3,3,2,5,1,2,2,2,3,3,1,0
RA-630,1,N,Aluno-630,Escola Pública,Topázio,8.064,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,4,4,3,4,3,4,1,2,2,2,3,4,1,0
RA-631,1,N,Aluno-631,Escola Pública,Ágata,6.928,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,1,3,3,4,3,1,2,1,2,1,3,1,1
RA-632,1,P,Aluno-632,Escola Pública,Ágata,6.996,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,4,3,3,2,4,1,1,1,2,1,3,1,1
RA-633,1,P,Aluno-633,Escola Pública,Ametista,7.476,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,1,2,1,3,3,4,3,5,1,4,1,2,2,4,2,1
RA-634,1,P,Aluno-634,Escola Pública,Ametista,7.619,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,2,4,4,3,3,4,1,1,4,1,2,2,3,1,1
